Protein.Name	Gene.Name	Uniprot.ID	protein_ZT0	protein_ZT03	protein_ZT06	protein_ZT09	protein_ZT12	protein_ZT15	protein_ZT18	protein_ZT21	protein_ZT24	protein_ZT27	protein_ZT30	protein_ZT33	protein_ZT36	protein_ZT39	protein_ZT42	protein_ZT45	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
Lambda-crystallin homolog	Cryl1	Q99KP3	3	3	5	4	3	3	3	3	3	3	4	5	3	5	4	4	3.625	5	0.292502591	319	23.06	25.26
Cytosolic Fe-S cluster assembly factor NUBP1	Nubp1	Q9R060	1	3	2	2	1	3	2	2	2	2	1	3	2	1	2	1	1.875	3	0.29262232	320	22.1	24
RING finger protein 214	Rnf214	Q8BFU3-4;Q8BFU3;Q8BFU3-2;Q8BFU3-5;Q8BFU3-3;E9PZK1	1	1	2	1	0	2	0	1	2	3	0	2	0	2	0	1	1.125	3	0.2291418	668	21.32	22.65
PIH1 domain-containing protein 1	Pih1d1	Q9CQJ2;D3Z484	3	4	2	2	3	3	1	0	1	0	2	0	4	0	0	2	1.6875	4	0.23321304	290	22.08	23.73
Protein polyglycylase TTLL10	Ttll10	A4Q9F3;A4Q9F3-2;B1ASM0	0	0	1	0	0	2	1	1	0	0	2	0	1	0	0	1	0.5625	2	0.21589165	704	23.06	24.26
Porphobilinogen deaminase	Hmbs	P22907;P22907-2	31	28	35	31	32	26	30	26	30	24	33	27	34	24	32	34	29.8125	35	0.293343378	361	22.01	24.2
Homeodomain-only protein	Hopx	Q8R1H0	2	1	2	1	2	1	2	2	2	1	2	1	2	1	2	2	1.625	2	0.293465289	73	22.34	23.47
Unconventional myosin-Ib	Myo1b	E9Q580;E9QNH6;Q7TQD7;P46735;P46735-2	12	12	15	10	15	10	9	18	16	7	18	9	8	6	9	9	11.4375	18	0.29467888	1107	24.57	27.05
[Protein ADP-ribosylarginine] hydrolase	Adprh	P54923	4	3	3	4	4	4	5	3	5	1	4	2	4	2	3	5	3.5	5	0.294334906	362	24.07	26.19
Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha	Naca	P70670;Q60817	12	23	11	23	11	24	15	20	15	21	13	21	18	24	18	19	18	24	0.295208127	NA	NA	NA
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	Adi1	Q99JT9;F7ARY2	5	7	6	8	3	9	7	6	6	9	9	7	7	6	7	9	6.9375	9	0.294138916	179	26.23	28.13
BRCA1-associated protein	Brap	Q99MP8;Q99MP8-2;Q99MP8-3	6	4	6	2	4	5	5	5	3	3	5	2	4	1	4	3	3.875	6	0.295419131	591	22.69	24.37
Glutaredoxin-3	Glrx3	Q9CQM9	32	26	32	31	26	28	27	25	36	29	21	28	20	25	20	16	26.375	36	0.294455958	337	23.53	25.76
Splicing factor 3A subunit 3	Sf3a3	Q9D554	10	8	10	8	7	8	8	8	6	5	8	7	8	5	10	4	7.5	10	0.295240924	501	24.01	25.84
	Bclaf1	F8WI22	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0.25	1	0.218116389	NA	NA	NA
	Sec24c	G3X972;Q80U83	6	9	11	10	7	10	8	9	10	3	9	6	6	8	9	11	8.25	11	0.296392408	NA	NA	NA
Toll-interacting protein	Tollip	Q9QZ06;Q8C5G6;A9JEI5	3	4	3	3	3	3	4	2	3	2	3	2	3	1	3	3	2.8125	4	0.296223451	274	22.69	24.21
Rab proteins geranylgeranyltransferase component A 1	Chm	Q9QXG2;A2AD03;Q3UR39	2	6	4	7	5	4	2	6	6	5	5	3	3	3	7	4	4.5	7	0.296921181	665	22.23	24.26
Nicotinamide mononucleotide adenylyltransferase 1	Nmnat1	Q9EPA7	2	1	3	1	1	1	1	3	3	2	3	4	2	4	2	2	2.1875	4	0.297001889	285	24.04	26.01
Serine/threonine-protein kinase MARK2	Mark2	Q05512-2;E9QMP6;E9PWB5;F6ZS70;Q05512;F8WJ68;Q3T9A3;Q05512-4;Q05512-3;E9PYX3;E9Q9N6;F7CVZ7	0	0	1	0	0	0	0	1	2	1	0	0	0	1	0	0	0.375	2	0.220327416	776	22.38	24.19
Eukaryotic translation initiation factor 3 subunit J	Eif3j	Q66JS6;Q3UGC7	9	10	7	7	7	8	10	6	9	8	7	8	9	7	8	10	8.125	10	0.297548519	NA	NA	NA
Serum deprivation-response protein	Sdpr	Q63918	4	2	2	2	3	2	4	2	3	1	2	1	3	2	2	3	2.375	4	0.297958372	418	20.64	21.88
Beclin-1	Becn1	O88597	0	0	2	0	0	0	0	1	1	1	0	0	0	1	0	0	0.375	2	0.221356576	448	23.22	25.16
6-phosphofructokinase, muscle type	Pfkm	P47857	6	3	7	3	8	2	10	4	7	4	5	4	7	3	3	2	4.875	10	0.299421849	780	22.97	25.27
Alcohol dehydrogenase 4	Adh4	Q9QYY9;E0CYI4	6	6	5	5	4	5	7	4	4	4	12	3	5	5	7	9	5.6875	12	0.299191334	377	22.78	25.77
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	Ppp2r1b	G3UWS4;Q3TTF6;Q7TNP2	4	5	5	5	4	5	7	5	4	3	5	4	7	4	5	5	4.8125	7	0.299831471	601	22.39	24.91
ATP synthase subunit O, mitochondrial	Atp5o	Q9DB20	17	28	20	25	27	24	23	26	25	26	23	26	26	31	22	21	24.375	31	0.299939954	213	22.63	25.47
Protein Z-dependent protease inhibitor	Serpina10	Q8R121;Q8R121-2	3	1	0	1	3	1	1	0	1	0	0	1	2	0	1	0	0.9375	3	0.162522551	448	24.66	27.24
	Atp2b4	Q6Q477;E9Q828;F7AAP4;Q32ME1	4	2	1	2	3	3	2	2	1	0	2	2	0	0	1	0	1.5625	4	0.139002903	1205	23.09	25.55
Mitogen-activated protein kinase kinase kinase 5	Map3k5	O35099;E9PWG9	0	2	5	3	2	2	1	0	5	1	0	0	2	1	1	1	1.625	5	0.148617964	1380	23.44	25.77
60S ribosomal export protein NMD3	Nmd3	Q99L48	0	1	1	1	2	1	1	1	1	0	2	1	1	1	0	0	0.875	2	0.149181925	503	23.97	26.06
60S acidic ribosomal protein P0	Rplp0;Gm8730	P14869;E9Q070;D3YVM5	50	60	55	54	53	51	50	58	49	42	49	49	56	54	50	54	52.125	60	0.302509967	317	22.4	24.94
Nuclear factor NF-kappa-B p105 subunit;Nuclear factor NF-kappa-B p50 subunit	Nfkb1	P25799;P25799-3;P25799-2;P25799-4	3	4	3	5	7	4	7	2	2	2	2	2	5	3	4	2	3.5625	7	0.302672433	971	22.34	24.65
Mitochondrial ribonuclease P protein 1	Rg9mtd1	Q3UFY8	3	2	3	2	3	1	4	1	2	2	2	1	2	1	2	1	2	4	0.302096737	414	24.69	27.04
Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	Etfdh	Q921G7;Q6PF96	71	97	95	97	71	85	82	90	88	90	80	99	80	91	77	84	86.0625	99	0.301956313	616	24.02	26.08
39S ribosomal protein L28, mitochondrial	Mrpl28	Q9D1B9	8	5	3	5	8	6	6	6	6	5	6	4	7	4	5	6	5.625	8	0.302323423	257	24.99	26.53
Exportin-6	Xpo6	Q924Z6;Q924Z6-2;F6XQN1;F7B8F0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0.25	1	0.226506599	1125	24.36	26.91
Importin subunit alpha-4	Kpna4	F6SJ65;O35343;D3YTN1	10	6	7	9	8	9	8	9	9	5	8	9	9	6	9	8	8.0625	10	0.303459932	521	22.43	24.61
Ribonuclease UK114	Hrsp12	P52760	31	38	36	50	27	56	39	57	39	59	44	70	37	59	42	46	45.625	70	0.303952916	135	21.73	24.44
Copper homeostasis protein cutC homolog	Cutc	Q9D8X1;D3YY50;F8WHX2	8	5	11	7	9	6	11	6	8	1	11	3	11	5	6	7	7.1875	11	0.305493463	272	21.98	24.57
	Ces2g	E9PV38	14	12	15	14	13	12	12	14	16	9	13	8	15	10	13	14	12.75	16	0.305100459	NA	NA	NA
Probable histidine--tRNA ligase, mitochondrial	Hars2	Q99KK9;G5E823	6	3	4	3	7	4	6	2	2	2	6	1	4	1	3	3	3.5625	7	0.305396948	505	23.71	26.06
Vacuolar protein sorting-associated protein VTA1 homolog	Vta1	Q9CR26;E9Q194;F6W5Q8	15	12	18	14	16	13	17	13	19	14	16	11	17	14	16	18	15.1875	19	0.306245516	309	22.18	23.94
	Mta3	Q3TY62	3	4	3	4	4	3	4	2	2	1	3	2	4	2	4	4	3.0625	4	0.306016381	NA	NA	NA
T-complex protein 1 subunit gamma	Cct3	P80318;Q3U0I3;E9Q133;F6Q609	34	35	39	33	28	32	29	31	33	27	35	31	32	35	31	37	32.625	39	0.30693518	545	22.46	24.45
Cyclin-dependent kinase 5	Cdk5	P49615	9	4	12	6	10	6	12	5	7	3	6	4	7	6	8	4	6.8125	12	0.308346735	292	24.38	27.02
RNA-binding protein EWS	Ewsr1	Q5SUS9;Q61545;Q5SUT0	9	11	8	10	12	9	10	7	11	8	9	8	7	7	10	10	9.125	12	0.308308221	655	20.75	21.72
Polypeptide N-acetylgalactosaminyltransferase 1;Polypeptide N-acetylgalactosaminyltransferase 1 soluble form	Galnt1	O08912	0	2	2	2	1	2	0	2	2	1	1	1	1	2	1	1	1.3125	2	0.150807921	559	24.67	26.82
Tyrosine-protein kinase Fyn;Neuronal proto-oncogene tyrosine-protein kinase Src	Fyn;Src	P39688;P39688-2;D3YZ57;P05480;Q80XU2	1	3	1	3	0	3	0	3	2	2	1	2	2	2	3	4	2	4	0.148234121	NA	NA	NA
Hydroxymethylglutaryl-CoA synthase, mitochondrial	Hmgcs2	P54869	154	211	187	204	167	215	196	203	194	218	208	227	195	246	200	202	201.6875	246	0.309106277	508	23.47	26.03
Transmembrane protein 111	Tmem111	Q99KI3	0	0	0	0	1	0	0	1	3	0	2	0	0	0	0	0	0.4375	3	0.231303168	261	25.21	27.97
RNA-binding protein Raly	Raly;C130057N11Rik	Q64012;A2AU62;Q64012-2;A2AU61;A2AU60	2	2	4	3	3	3	2	3	3	1	2	3	4	2	3	4	2.75	4	0.310020648	312	20.82	22.93
SCY1-like protein 2	Scyl2	Q8CFE4;G5E8J9	8	6	7	6	8	6	9	7	9	5	7	8	8	6	3	5	6.75	9	0.310166722	930	23.05	25.47
DnaJ homolog subfamily B member 4	Dnajb4	Q9D832	12	9	12	12	12	9	11	9	8	6	7	8	12	9	7	10	9.5625	12	0.310459277	337	23.66	25.71
ADP-ribosylation factor 4	Arf4	E9Q972;P61750;E9Q798	2	5	12	8	1	10	5	10	13	10	5	2	3	10	8	4	6.75	13	0.311130774	180	24.18	27.16
Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 5	Ppp5c	G5E819;F7BX26;Q60676	5	5	7	8	7	7	9	8	5	5	7	5	10	4	8	7	6.6875	10	0.31135453	499	24.04	26.38
Vacuolar protein sorting-associated protein 45	Vps45	P97390	3	2	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2.625	3	0.31155797	570	23.65	26.08
Peptidyl-prolyl cis-trans isomerase H;Peptidyl-prolyl cis-trans isomerase	Ppih	Q9D868;Q9D868-2;A2BGI8;A2BGI9	2	2	2	3	2	2	2	1	1	2	2	0	2	1	2	1	1.6875	3	0.172941699	188	24.03	26.73
Cellular nucleic acid-binding protein	Cnbp	P53996;P53996-3;P53996-2;D3YYF6	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1.875	2	0.187625399	178	22.4	23.43
	S100a16	Q9D708;D3Z2Y6	0	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1.0625	2	0.178117967	124	22.54	24.05
E3 ubiquitin-protein ligase RNF213	Rnf213	E9Q555	4	4	6	6	7	1	4	9	7	4	11	1	3	3	2	0	4.5	11	0.197420243	5152	23.77	25.97
	Il1rap	Q3UVZ1;E9Q6I2	4	4	5	2	3	4	4	2	4	0	3	1	4	2	2	3	2.9375	5	0.186098834	NA	NA	NA
Glutamine-rich protein 1	Qrich1	G3X8R5;Q3UA37	1	1	1	1	3	2	2	0	1	1	2	1	2	1	2	2	1.4375	3	0.201203324	777	22.15	23.32
	Ube4a	G3X9Y5;E9Q735;D3Z701	3	4	7	3	7	4	6	5	5	2	8	2	1	0	3	3	3.9375	8	0.186694343	1028	24.04	26.28
Polymerase I and transcript release factor	Ptrf	O54724	3	2	3	2	1	2	1	2	3	1	0	1	3	1	2	2	1.8125	3	0.158988839	392	21.35	22.95
Integral membrane protein 2B;BRI2, membrane form;BRI2 intracellular domain;BRI2C, soluble form;Bri23 peptide	Itm2b	O89051	1	1	1	1	1	1	1	1	2	2	3	0	2	1	3	3	1.5	3	0.174433407	266	24.54	27.3
Ubiquinone biosynthesis protein COQ7 homolog	Coq7	P97478;Q3TYT1	2	2	2	3	2	2	4	2	0	3	4	3	5	3	4	4	2.8125	5	0.178991099	217	23.13	25.07
Arf-GAP with dual PH domain-containing protein 2	Adap2	Q3V340;Q8R2V5	0	2	3	2	2	2	2	2	3	2	3	2	2	2	2	4	2.1875	4	0.218866682	381	25.08	27.17
5-nucleotidase	Nt5e	Q61503	3	2	2	3	3	0	3	4	3	1	3	1	1	3	2	2	2.25	4	0.214580801	576	23.98	26.81
Actin-binding LIM protein 3	Ablim3	Q69ZX8	3	2	5	2	3	3	1	5	4	3	2	2	1	3	0	1	2.5	5	0.18304337	682	23.98	25.52
	Nup205	Q6ZQG1;F6PXL5	5	4	1	4	4	1	3	1	3	1	3	2	1	2	0	1	2.25	5	0.220600593	NA	NA	NA
Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	Pck2	Q8BH04;Q3UGF0	1	1	3	2	1	4	2	3	0	1	2	1	3	1	3	3	1.9375	4	0.200254415	640	23.65	25.37
Trinucleotide repeat-containing gene 6B protein	Tnrc6b	Q8BKI2;F8WJ18	3	3	1	2	1	4	2	3	2	1	2	1	3	1	0	1	1.875	4	0.220982738	1810	20.89	22.17
COP9 signalosome complex subunit 8	Cops8	Q8VBV7	1	4	2	4	1	2	0	2	3	1	4	3	3	3	3	3	2.4375	4	0.165752666	209	23.23	25.18
Polyadenylate-binding protein-interacting protein 1	Paip1	Q8VE62;G3UYE5	3	3	1	1	4	2	4	2	2	2	4	0	4	4	2	4	2.625	4	0.18496868	400	22.86	24.84
AFG3-like protein 1	Afg3l1	Q920A7	1	3	4	3	2	3	2	3	3	1	3	3	0	2	3	2	2.375	4	0.216402208	789	23.2	25.31
Thymidine phosphorylase	Tymp	Q99N42	1	1	0	1	1	1	1	1	1	1	1	1	2	1	2	1	1.0625	2	0.156931975	471	20.98	22.8
26S proteasome non-ATPase regulatory subunit 9	Psmd9	Q9CR00	1	1	1	2	1	1	1	2	1	2	1	1	2	2	1	0	1.25	2	0.202684632	222	21.51	22.66
Regulation of nuclear pre-mRNA domain-containing protein 1B	Rprd1b	Q9CSU0;Q9CSU0-2;Q9CSU0-3;F6YB25	3	3	4	1	1	0	4	2	3	1	5	1	5	2	3	2	2.5	5	0.220444153	326	22.21	24.07
Ataxin-3	Atxn3	Q9CVD2;E9Q717;F6T5L3	2	1	2	2	0	1	2	1	1	1	2	2	1	1	1	1	1.3125	2	0.190954605	355	22.29	23.75
Protein-associating with the carboxyl-terminal domain of ezrin	Scyl3	Q9DBQ7;Q9DBQ7-3	4	1	4	2	5	1	4	1	3	0	6	1	2	1	3	5	2.6875	6	0.198845342	735	22.75	24.63
Sushi domain-containing protein 2	Susd2	Q9DBX3;Q9DBX3-2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0.9375	1	0.2142727	820	23.83	26
Cytochrome P450 3A41	Cyp3a41a	Q9JMA7	6	3	4	4	1	3	2	2	8	1	6	3	1	1	1	0	2.875	8	0.188337714	504	25.44	28.22
Metastasis-associated protein MTA2	Mta2	Q9R190	0	3	3	3	2	4	5	2	2	4	4	3	2	2	2	3	2.75	5	0.21812879	668	22.96	24.72
Mitochondrial import inner membrane translocase subunit Tim9 B	Fxc1	Q9WV96;D3YVK4;D3YVK5;D6RG99	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9375	1	0.199145563	100	22.54	23.36
Protein RUFY3	Rufy3	E9QL96;Q9D394-2;Q9D394-4;Q9D394-3;Q9D394	7	6	8	5	7	5	6	3	6	5	7	5	6	3	5	6	5.625	8	0.312386962	469	22.53	24.88
Glutathione S-transferase Mu 7	Gstm7	Q80W21;D3YVP5;D3YVP6;E9QAC8;D3YZ29	9	8	8	9	6	9	9	9	6	7	11	9	12	5	9	10	8.5	12	0.313366091	218	25.91	28.61
Cytochrome P450 2B9	Cyp2b9	P12790;Q64463	2	1	3	2	2	0	3	3	5	1	3	0	0	0	1	0	1.625	5	0.254787735	491	24.93	27.43
Ubiquitin-conjugating enzyme E2 B	Ube2b	P63147	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0.6875	1	0.259973194	152	23.23	24.86
Puromycin-sensitive aminopeptidase	Npepps	Q11011;E9Q039;F6QYF8;E9Q6F4	22	18	20	19	19	19	28	13	16	8	21	12	19	13	17	16	17.5	28	0.314182861	920	23.95	26.34
Chromatin complexes subunit BAP18	0610010K14Rik;Bap18	D3Z687;Q9DCT6;Q9DCT6-2;F6SYB8;A2CF79;A2CF75	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0.375	2	0.238406358	171	20.96	23.13
39S ribosomal protein L43, mitochondrial	Mrpl43	Q5RL20;Q99N89	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0.4375	1	0.241669529	183	21.7	23.06
RRP15-like protein	Rrp15	Q9CYX7	1	1	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0.4375	2	0.241020404	281	21.03	22.7
Protein CREG1	Creg1	O88668	15	17	17	14	15	17	15	13	14	13	15	14	15	16	16	16	15.125	17	0.315543382	220	23.83	25.58
Alpha-actinin-4	Actn4	P57780;E9Q2W9	75	79	88	75	64	64	77	60	90	67	73	60	76	64	68	73	72.0625	90	0.315664803	912	23.51	25.22
DNA-directed RNA polymerase II subunit RPB11	Polr2j	O08740;Q6PI63;D3YZ20	1	4	2	4	2	3	2	3	3	2	2	3	3	3	4	2	2.6875	4	0.316742898	117	23.82	26.19
Homogentisate 1,2-dioxygenase	Hgd	O09173	67	74	77	80	65	70	73	73	80	62	81	65	71	68	75	83	72.75	83	0.31647689	445	24.67	26.97
Abhydrolase domain-containing protein 11	Abhd11	Q8K4F5;D3YYK0	6	12	12	12	12	13	12	9	10	8	14	11	13	12	15	12	11.4375	15	0.316885448	307	22.85	24.79
Prostaglandin reductase 2	Ptgr2	Q8VDQ1;Q8VDQ1-2;Q3TXN1	35	29	29	28	35	29	32	31	33	30	27	29	34	28	31	33	30.8125	35	0.316634144	351	22.56	25.01
TNF receptor-associated factor 6	Traf6	P70196	2	0	1	1	2	0	0	0	0	0	1	0	1	0	0	1	0.5625	2	0.245070632	530	23.29	24.67
Dual specificity mitogen-activated protein kinase kinase 1	Map2k1	P31938	8	7	5	6	6	3	8	4	5	5	6	4	5	6	4	6	5.5	8	0.318844873	393	23.02	25.04
Serum paraoxonase/arylesterase 2	Pon2	Q62086;E9PV34	8	4	7	6	7	2	7	6	6	2	7	4	4	3	4	6	5.1875	8	0.318920639	354	24.22	27.09
G-protein coupled receptor 98	Gpr98	B8JJE0;Q8VHN7;D3YYF1;Q8VHN7-4;Q8VHN7-5;F6QY07	4	6	7	7	4	7	5	8	4	5	2	7	8	4	2	3	5.1875	8	0.320514429	6298	22.77	25.21
	Kif13b	E9Q4K7	34	37	48	38	30	35	37	32	40	36	39	36	39	37	35	37	36.875	48	0.320354048	NA	NA	NA
40S ribosomal protein S7	Rps7;Gm9493	P62082;F6SVV1	28	37	25	32	32	35	27	29	26	29	27	21	33	21	28	27	28.5625	37	0.32044608	194	23.67	25.85
Ras-related C3 botulinum toxin substrate 1;Ras-related C3 botulinum toxin substrate 3;Ras-related C3 botulinum toxin substrate 2	Rac1;Rac3;Rac2	Q3TLP8;P63001;P60764;Q05144	6	9	6	7	5	7	9	9	10	4	9	6	6	6	7	9	7.1875	10	0.320532362	NA	NA	NA
Cysteine desulfurase, mitochondrial	Nfs1	Q8C6I5;Q9Z1J3;Q9Z1J3-2	14	13	19	13	12	13	16	12	16	14	18	13	15	14	15	15	14.5	19	0.320342042	459	22.72	24.59
NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	Ndufs8	Q8K3J1	2	3	5	2	2	3	2	2	3	3	2	5	2	3	3	3	2.8125	5	0.320136522	212	23.43	25.2
Prostaglandin E synthase 3	Ptges3	Q9R0Q7;E9PXA6;D3Z7C6	11	13	13	16	12	12	15	13	14	10	16	13	13	11	12	15	13.0625	16	0.32111315	160	23.71	25.87
UBX domain-containing protein 4	Ubxn4	Q8VCH8	6	4	6	3	5	4	3	4	5	4	7	2	9	2	3	4	4.4375	9	0.321325052	506	21.74	23.12
N-alpha-acetyltransferase 10	Naa10	Q9QY36;B1AUY7;B1AUY8;Q3V4D5;B1AUZ1;B1AUY9	9	8	9	9	6	7	8	6	7	5	8	4	7	2	5	8	6.75	9	0.321803326	235	22.43	24.49
U4/U6.U5 tri-snRNP-associated protein 2	Usp39	Q3TIX9	1	1	2	2	1	0	2	2	1	1	2	0	2	0	2	2	1.3125	2	0.02449995	564	24.24	26.37
PIN2/TERF1-interacting telomerase inhibitor 1	Pinx1	Q9CZX5	1	1	2	1	1	1	1	1	2	1	0	1	0	1	2	0	1	2	0.020857809	332	21.87	23.67
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	Ankrd44	E9QNQ2;B2RXR6	1	2	1	2	2	0	2	1	0	0	0	0	0	0	0	0	0.6875	2	0.24773317	993	22.09	24.4
Tuberin	Tsc2	E9QLU3;Q61037-6;Q7TT21;Q61037;E9QMW6;Q61037-5;E9QMZ6;Q61037-2;E9QMZ9;Q61037-3;E9QN07;Q61037-4;E9QN11;Q61037-7	0	2	1	3	0	1	1	2	2	1	1	1	0	0	1	1	1.0625	3	0.184786724	1814	23.18	25.29
3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase	Ebp	P70245;A2AC29	0	0	2	2	0	1	0	2	2	2	2	1	1	2	2	2	1.3125	2	0.170528711	230	26.88	30.18
Pleckstrin homology domain-containing family F member 1	Plekhf1	Q3TB82	1	1	1	1	1	1	1	0	2	0	1	0	1	1	1	0	0.8125	2	0.181340942	279	23.1	24.57
General transcription factor 3C polypeptide 4	Gtf3c4	Q8BMQ2;E9Q2B0;Q8BMQ2-2;Q8BMQ2-3	1	1	2	1	1	1	1	1	1	0	0	1	1	1	0	0	0.8125	2	0.174812289	817	23.67	25.78
Protein KTI12 homolog	Kti12	Q9D1R2	1	1	1	2	1	0	1	1	1	1	0	0	1	1	0	1	0.8125	2	0.172410544	351	21.58	23.13
N-alpha-acetyltransferase 30	Naa30	E9QMB7;Q8CES0	2	2	2	0	1	2	2	2	2	1	2	0	2	1	2	2	1.5625	2	0.179709732	364	21.5	23.01
25-hydroxycholesterol 7-alpha-hydroxylase	Cyp7b1	Q60991	3	0	5	4	4	2	2	12	11	4	12	2	2	1	1	0	4.0625	12	0.182530225	507	25.4	28.33
Testis-expressed sequence 2 protein	Tex2	Q6ZPJ0;B1ATR2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	0	0	1.5625	2	0.176752996	1128	22.5	24.33
Protein unc-119 homolog B	Unc119b	Q8C4B4;Q8C4B4-2	0	5	3	5	0	4	4	4	3	4	2	4	3	4	1	1	2.9375	5	0.185429965	251	23.24	25.23
Tensin-like C1 domain-containing phosphatase	Tenc1	Q8CGB6-3;Q8CGB6;Q8CGB6-4;Q8CGB6-2	4	1	2	2	3	1	3	2	2	0	2	0	2	1	3	2	1.875	4	0.17759356	1400	22.3	23.49
TLC domain-containing protein 2	Tlcd2	Q8VC26	0	1	2	1	3	1	1	3	3	1	3	0	1	1	1	1	1.4375	3	0.170883125	310	24.77	27.65
Autophagy protein 5	Atg5	Q99J83	1	1	2	2	1	1	1	1	1	0	1	0	1	1	1	2	1.0625	2	0.188590096	275	25.8	27.64
Beta-catenin-like protein 1	Ctnnbl1	Q9CWL8	1	1	2	2	2	1	2	2	2	0	2	2	1	1	2	0	1.4375	2	0.183126419	563	22.87	24.68
Proline-rich AKT1 substrate 1	Akt1s1	E9QKI4;E9QKI5;Q9D1F4;F6R8S6;D3Z4R0;D3Z4W3	1	2	2	2	0	2	0	1	1	2	1	2	1	2	1	1	1.3125	2	0.180751053	257	20.22	20.56
Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial	Suclg2	Q9Z2I8;E9Q2W0;Q9Z2I8-2	67	64	63	76	54	63	69	56	61	52	67	69	77	66	69	72	65.3125	77	0.325023427	433	22.12	24.78
Peptidyl-prolyl cis-trans isomerase B	Ppib	P24369	77	71	79	71	67	61	78	55	66	53	70	60	65	57	66	60	66	79	0.324894147	216	24.15	27.45
Luc7-like protein 3	Luc7l3	Q5SUF2-2;Q5SUF2-3;Q5SUF2	1	9	9	8	1	8	7	6	9	7	3	7	6	6	4	4	5.9375	9	0.324539135	432	21.84	22.12
Pre-mRNA-splicing factor ISY1 homolog	Isy1	Q69ZQ2	1	4	1	3	1	3	4	1	1	1	2	3	2	3	2	2	2.125	4	0.325228553	285	22.86	23.94
Kynurenine--oxoglutarate transaminase 3	Ccbl2	Q71RI9;Q71RI9-2	30	29	31	29	27	28	31	21	27	18	32	23	29	20	31	31	27.3125	32	0.323000139	455	24.7	27.46
Cytosolic acyl coenzyme A thioester hydrolase	Acot7	Q91V12-4;Q91V12-2;E9PYH2;Q91V12;Q91V12-3	4	8	7	7	7	7	8	7	8	6	6	6	8	7	9	11	7.25	11	0.325181753	381	23.09	24.81
Pyridoxine-5-phosphate oxidase	Pnpo	Q91XF0	14	12	13	13	12	14	13	12	13	8	12	8	14	9	11	13	11.9375	14	0.323194695	261	24.66	26.26
Ankycorbin	Rai14	Q9EP71	11	14	10	9	10	13	13	10	10	6	10	7	13	7	10	12	10.3125	14	0.324362822	979	21.11	22.94
Ubiquitin carboxyl-terminal hydrolase isozyme L3;Ubiquitin carboxyl-terminal hydrolase isozyme L4	Uchl3;Uchl4	Q9JKB1;P58321;E9Q111	15	16	23	18	11	17	14	16	18	9	17	12	16	12	15	18	15.4375	23	0.323584148	NA	NA	NA
Serine/threonine-protein kinase MRCK beta	Cdc42bpb	Q7TT50	19	13	13	12	18	17	13	13	14	8	15	11	12	14	16	14	13.875	19	0.325664749	1713	22.98	24.71
Putative RNA-binding protein 3	Rbm3	Q8BG13;O89086;Q5RJV3	0	1	1	1	0	1	1	0	0	0	2	0	2	0	0	2	0.6875	2	0.139687702	153	21.8	23.6
High affinity immunoglobulin epsilon receptor subunit gamma	Fcer1g	P20491	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0.5	1	0.116009592	86	23.98	27.13
Selenoprotein P	Sepp1	P70274;E0CZC5	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	2	0.5625	2	0.100657876	380	22.06	23.41
Pleckstrin homology domain-containing family G member 3	Plekhg3	Q4VAC9;Q4VAC9-2;Q4VAC9-3	1	0	0	1	1	1	1	0	0	1	1	0	2	0	0	0	0.5625	2	0.12166262	1341	21.66	22.78
tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A	Trmt61a	Q80XC2	2	0	1	0	2	0	0	0	1	0	1	1	1	0	0	1	0.625	2	0.10915096	290	23.22	24.89
Sideroflexin-5	Sfxn5	Q925N0;Q8BRQ9;D3YXH5	1	0	0	0	1	0	2	3	2	0	3	0	0	1	3	0	1	3	0.138830317	342	23.12	25.6
